id,title,body,author-id
1,Understanding Databases,A brief overview of databases.,8
2,SQL Basics,Introduction to SQL basics.,3
3,Optimizing Queries,Learn how to optimize your queries.,1
4,Joins Explained,Understanding SQL joins.,6
5,Data Normalization,Guide to data normalization.,6
6,Using Transactions,Working with transactions in SQL.,2
7,Database Security,Tips for database security.,2
8,Backup Strategies,Strategies for database backups.,2
9,Database Design,Best practices in database design.,10
10,Intro to NoSQL,A look into NoSQL databases.,5
11,Advanced Indexing,Advanced techniques in indexing.,1
12,Query Performance Tips,Improving query performance.,3
13,Common SQL Mistakes,Avoid these common SQL mistakes.,7
14,Database Best Practices,Essential database practices.,5
15,Stored Procedures,What are stored procedures?,5
16,Triggers Overview,An introduction to triggers.,7
17,SQL Functions,Using SQL functions effectively.,3
18,Schema Evolution,Managing schema changes.,9
19,Scaling Databases,Tips for scaling databases.,5
20,Partitioning Techniques,Partitioning for performance.,2